type,title,url,id,code,date_edition,date_limite,metier,niveau,experience,lieu,date_publication,entreprise,description_poste,profil_poste,dossier_candidature,email_candidature,description_complete
Stage,ASSISTANT PARC AUTO,https://emploi.educarriere.ci/offre-129961-assistant-parc-auto.html,129961,125784,11/03/2025,31/03/2025,Logistique/Transport,BAC+3,,"Abidjan , Cocody",11/03/2025,"- Suivi administratif des véhicules : immatriculations, assurances, visites techniques, renouvellement des documents légaux.
- Planification et suivi des entretiens et réparations en collaboration avec les prestataires externes.
- Suivi des consommations de carburant et contrôle des relevés kilométriques.
- Participation à la gestion des sinistres (déclaration, constitution des dossiers d’assurance).
- Mise à jour de la base de données du parc automobile (tableaux de bord, indicateurs de suivi).
- Suivi des affectations de véhicules et élaboration des plannings d’utilisation.
- Appui à l’organisation logistique liée à la flotte de véhicules (distribution des badges, gestion des clés, etc.).
- Participation à l’élaboration de rapports d’activité et propositions d’amélioration pour la gestion du parc.",,,,,"Description du poste- Suivi administratif des véhicules : immatriculations, assurances, visites techniques, renouvellement des documents légaux.
- Planification et suivi des entretiens et réparations en collaboration avec les prestataires externes.
- Suivi des consommations de carburant et contrôle des relevés kilométriques.
- Participation à la gestion des sinistres (déclaration, constitution des dossiers d’assurance).
- Mise à jour de la base de données du parc automobile (tableaux de bord, indicateurs de suivi).
- Suivi des affectations de véhicules et élaboration des plannings d’utilisation.
- Appui à l’organisation logistique liée à la flotte de véhicules (distribution des badges, gestion des clés, etc.).
- Participation à l’élaboration de rapports d’activité et propositions d’amélioration pour la gestion du parc.Profil du poste- Formation : Bac +2 minimum en Logistique, Transport, Gestion, Administration ou filière équivalente.
- Maîtrise des outils bureautiques (Excel, Word).
- Rigueur, organisation et sens du détail.
- Aisance relationnelle et goût pour le travail en équipe.
- Une connaissance basique de la mécanique automobile serait un plus.
- Permis de conduire (souhaité mais non obligatoire).

Ce que nous offrons :
- Une expérience enrichissante dans la gestion de flotte automobile au sein d’une équipe dynamique.
- Opportunité d’acquérir une vision pratique de la logistique et de la gestion administrative d’un parc automobile.
- Encadrement et formation sur les outils et process internes.
- Possibilité d’évolution vers d’autres missions selon les besoins et votre implication.Dossiers de candidatureMerci d’envoyer votre CV à l’adresse suivante : recruitment.ci@reimegroup.com
Date limite de candidature : 31 mars 2025."
Emploi,RESPONSABLE CARRIERE,https://emploi.educarriere.ci/offre-129960-responsable-carriere.html,129960,125783,11/03/2025,24/03/2025,"Génie Civil/Travaux publics, Mines/Géologie/Pétrole",BAC+5,7 ans,Abidjan et villes intérieurs du pays,11/03/2025,"Prestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers, de concassage mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP


Pour les besoins de nos activités nous recrutons un Responsable/chef carrière qui sera chargé de :

• Veiller au rendement du chantier
• Superviser les travaux des différentes équipes en place sur le chantier
• Animer, coordonner et manager les équipes
• Contrôler les procédures de production
• Conduire les actions d’amélioration continue
• Relayer l’ensemble des informations nécessaires au bon fonctionnement de ses équipes
• Identifier les dysfonctionnements et y pallier
• Assurer le reporting et le suivi des données de production
• Partager et veiller à ce que les Bonnes Pratiques et règles de sécurité soient appliquées par tous les collaborateurs",,,,,"Description du postePrestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers, de concassage mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP


Pour les besoins de nos activités nous recrutons un Responsable/chef carrière qui sera chargé de :

• Veiller au rendement du chantier
• Superviser les travaux des différentes équipes en place sur le chantier
• Animer, coordonner et manager les équipes
• Contrôler les procédures de production
• Conduire les actions d’amélioration continue
• Relayer l’ensemble des informations nécessaires au bon fonctionnement de ses équipes
• Identifier les dysfonctionnements et y pallier
• Assurer le reporting et le suivi des données de production
• Partager et veiller à ce que les Bonnes Pratiques et règles de sécurité soient appliquées par tous les collaborateursProfil du posteNous recrutons un Collaborateur
- possédant :
1- au minimum 7 années d'expériences aux postes indiqués et 5 années minimum dans une entreprise de BTP
2- Des connaissances théoriques et pratiques sur tous les aspects de BTP et concassage
3- avoir travaillé 3 ans au minimum dans une carrière serait un atout

COMPETENCES :
Le candidat doit posséder les aptitudes professionnelles suivantes :
Pragmatisme, Dynamisme, Anticipation, Communication, Contrôle, Esprit d’équipe, Rigueur, méthode, réactivité, Disponibilité, grande capacité de travail, MéticuleuxDossiers de candidatureVous avez envie d’intégrer une entreprise dynamique, favorisant l’autonomie et l’initiative ?
Alors, l’opportunité que nous offrons doit vous intéresser, sachez la saisir, rejoignez-nous ! 
Pour faire acte de candidature, merci d’adresser votre CV  arquette.konan@emergim.ci
Aucun document (CV / Lettre de motivation) en version papier ne sera reçu.
Nous nous réservons le droit de ne répondre qu’aux dossiers présélectionnés."
Stage,VENDEUSE,https://emploi.educarriere.ci/offre-129959-vendeuse.html,129959,125782,11/03/2025,24/03/2025,"Caisse, Commerce/Ventes",Terminale,2 ans,"Abidjan, Cocody, 2 Plateau, Aghien",11/03/2025,"Formation Pré-emploi basée sur les aspects suivants
- Accueillir la clientèle;
- Vendre les produits de la boutique;
- Fidéliser la clientèle en valorisant l'image et en respectant l'esprit de l’entreprise;
- Participer à la bonne tenue du magasin et des vitrines;
- Gérer le stock et la caisse",,,,,"Description du posteFormation Pré-emploi basée sur les aspects suivants
- Accueillir la clientèle;
- Vendre les produits de la boutique;
- Fidéliser la clientèle en valorisant l'image et en respectant l'esprit de l’entreprise;
- Participer à la bonne tenue du magasin et des vitrines;
- Gérer le stock et la caisseProfil du poste- Avoir le sens de la reparti, une bonne écoute active;
- Avoir des qualités relationnelles;
- Etre dynamique et enthousiaste;
- Etre capable de travailler en équipe ;
- Etre attentif;
- Avoir le sens de l'initiative et capacité à proposer des améliorations et des mesures correctives selon les besoins des clients.
- Résider non loin de AghienDossiers de candidatureCV + Lettre de motivation à altessrecrutement@gmail.com"
Consultance,ENCADREUR LITTERAIRE BILINGUE,https://emploi.educarriere.ci/offre-129958-encadreur-litteraire-bilingue.html,129958,125781,11/03/2025,24/03/2025,Education/Enseignement,BAC+3,1 ans,Côte d'Ivoire,11/03/2025,"MONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur pour un apprenant en classe de CE2 inscrit au programme bilingue résidant à Feh Kessé/cité immobilière 5 à raison de 2 séances de 1h30 par semaine.",,,,,"Description du posteMONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur pour un apprenant en classe de CE2 inscrit au programme bilingue résidant à Feh Kessé/cité immobilière 5 à raison de 2 séances de 1h30 par semaine.Profil du poste- Justifier 1 an d'expérience ou plus dans l'enseignement du programme bilingue ;
- Justifier d'une bonne base en Anglais ;
- Résider/exercer à proximité de la zone serait un atout ;Dossiers de candidatureCV à envoyer à recrutement@monprofchezmoi-ci.com avec pour intitulé ""Encadreur littéraire bilingue"""
Consultance,ENCADREUR DE ALLEMAND,https://emploi.educarriere.ci/offre-129957-encadreur-de-allemand.html,129957,125780,11/03/2025,24/03/2025,Education/Enseignement,BAC+3,1 ans,Côte d'Ivoire,11/03/2025,"MONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur (Allemand ) pour leur apprenante en classe de 3e inscrit au programme ivoirien résidant à Feh Kessé/cité de grace à raison de 1 séances de 2h par semaine.",,,,,"Description du posteMONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur (Allemand ) pour leur apprenante en classe de 3e inscrit au programme ivoirien résidant à Feh Kessé/cité de grace à raison de 1 séances de 2h par semaine.Profil du poste- Justifier 1 an d'expérience ou plus dans l'enseignement de l'allemand
- Justifier d'une bonne base en Allemand
- Résider/exercer à proximité de la zone serait un atoutDossiers de candidatureCV à envoyer à recrutement@monprofchezmoi-ci.com avec pour intitulé ""Encadreur d'allemand"""
Stage,04 CONSEILLERS RELATION CLIENTÈLE STAGIAIRE,https://emploi.educarriere.ci/offre-129956-04-conseillers-relation-clientele-stagiaire.html,129956,125779,11/03/2025,24/03/2025,"Communication, Commerce/Ventes, Marketing","BAC+3, BAC+2",,Abidjan,11/03/2025,"04 Conseillers Relation Clientèle STAGIAIRE

Notre société recrute des Commerciaux Stagiaires. Ils auront pour mission d’appeler pour vendre des produits et services.",,,,,"Description du poste04 Conseillers Relation Clientèle STAGIAIRE

Notre société recrute des Commerciaux Stagiaires. Ils auront pour mission d’appeler pour vendre des produits et services.Profil du postePROFIL 

Être bon vendeur ou commercial 
BAC+2 minimum en Gestion CommercialeDossiers de candidaturePOSTULER ICI 

https://forms.gle/po2qiLfH8BuKMATF7"
Freelance,COMMUNITY MANAGER,https://emploi.educarriere.ci/offre-129955-nous-recrutons-des-community-manager.html,129955,125778,11/03/2025,24/03/2025,"Communication, Infographie, Informatique de Gestion",BAC+2,2 ans,"abidjan - koumassi, non loin de la place Inch'alla",11/03/2025,CACAO COMMUNICATION,"Nous sommes un atelier de décoration publicitaire et de vente de machines et supports d'imprimerie. Dans le cadre du developpement de nos activités, nous récrutons un COMMUNITY MANAGER qui devra gérer notre communication sur les réseaux sociaux","- Avoir une maîtrise des logiciels Photoshop et Illustrator - Avoir une maîtrise de la communication sur les reseaux sociaux : LinkedIn, Facebook, TikTok, X, WhatsApp, Instagram, ... - Etre organisé et ponctuel - Pouvoir travailler sur pression",direction.cacao@gmail.com,direction.cacao@gmail.com,"CACAO COMMUNICATION
recrute
COMMUNITY MANAGER
 
Description du poste
Nous sommes un atelier de décoration publicitaire et de vente de machines et supports d'imprimerie. Dans le cadre du developpement de nos activités, nous récrutons un COMMUNITY MANAGER qui devra gérer notre communication sur les réseaux sociaux
Profil du poste
- Avoir une maîtrise des logiciels Photoshop et Illustrator - Avoir une maîtrise de la communication sur les reseaux sociaux : LinkedIn, Facebook, TikTok, X, WhatsApp, Instagram, ... - Etre organisé et ponctuel - Pouvoir travailler sur pression
Dossiers de candidature
direction.cacao@gmail.com"
Freelance,DEVELOPPEUR,https://emploi.educarriere.ci/offre-129954-developpeur.html,129954,125777,11/03/2025,28/03/2025,Informatique,"BAC+7 et plus, BAC+6, BAC+5, BAC+4",5 ans,Angré DJOROGOBITE,11/03/2025,"Une entreprise recherche pour son compte un développeur, expert dans le domaine. Vos principales responsabilités :
        •       Concevoir et développer des applications performantes et évolutives.

	•	Participer aux choix d’architecture technique et assurer la qualité du code.

	•	Optimiser les performances et assurer la sécurité des applications.

	•	Travailler en collaboration avec le développeur.

	•	Assurer une veille technologique et proposer des améliorations.

	•	Collaborer avec les autres équipes.",,,,,"Description du posteUne entreprise recherche pour son compte un développeur, expert dans le domaine. Vos principales responsabilités :
        •       Concevoir et développer des applications performantes et évolutives.

	•	Participer aux choix d’architecture technique et assurer la qualité du code.

	•	Optimiser les performances et assurer la sécurité des applications.

	•	Travailler en collaboration avec le développeur.

	•	Assurer une veille technologique et proposer des améliorations.

	•	Collaborer avec les autres équipes.Profil du posteExpérience significative (+5 ans) en développement logiciel.
 Maîtrise d’un ou plusieurs langages : [ex : JavaScript (Node.js, React), Python, Java, C#, etc.].
 Excellente compréhension des architectures web, microservices et bases de données.
 Expérience avec les outils DevOps et CI/CD.
 Compétences en optimisation de performance et cybersécurité.
 Capacité à encadrer une équipe et à partager ses connaissances.
 Bonne communication et esprit d’analyse.Dossiers de candidatureCV à l'adresse info@numerys.ci"
Emploi,MAJORDOME EXPÉRIMENTÉ(E),https://emploi.educarriere.ci/offre-129953-majordome-experimentee.html,129953,125776,11/03/2025,01/04/2025,"Entretien/Nettoyage, Hôtellerie/Restauration",BEP,2 ans,ANGRÉE SAINT VIATEUR,11/03/2025,"Nous recherchons un(e) majordome expérimenté(e) pour un poste à plein temps à Abidjan, du lundi au vendredi.

📌 Description du poste :
En tant que majordome, vous serez responsable de garantir un service haut de gamme en assurant les tâches suivantes : ✔ Entretien et ménage minutieux de l’ensemble du domicile ✔ Préparation et service de repas européens avec une attention particulière à la présentation et au goût ✔ Gestion des stocks alimentaires et produits d’entretien ✔ Organisation et mise en ordre des espaces de vie ✔ Accueil et service aux invités, selon les standards des hôtels de luxe ✔ Réception et gestion des livraisons ✔ Suivi et coordination des prestataires externes (plombiers, électriciens, etc.) si nécessaire

📅 Conditions de travail :
📆 Horaires : Du lundi au vendredi 📍 Lieu : Angre St viateur 💼 Contrat : Temps plein",,,,,"Description du posteNous recherchons un(e) majordome expérimenté(e) pour un poste à plein temps à Abidjan, du lundi au vendredi.

📌 Description du poste :
En tant que majordome, vous serez responsable de garantir un service haut de gamme en assurant les tâches suivantes : ✔ Entretien et ménage minutieux de l’ensemble du domicile ✔ Préparation et service de repas européens avec une attention particulière à la présentation et au goût ✔ Gestion des stocks alimentaires et produits d’entretien ✔ Organisation et mise en ordre des espaces de vie ✔ Accueil et service aux invités, selon les standards des hôtels de luxe ✔ Réception et gestion des livraisons ✔ Suivi et coordination des prestataires externes (plombiers, électriciens, etc.) si nécessaire

📅 Conditions de travail :
📆 Horaires : Du lundi au vendredi 📍 Lieu : Angre St viateur 💼 Contrat : Temps pleinProfil du poste✅ Expérience professionnelle confirmée dans de grands hôtels ou établissements de luxe ✅ Excellentes compétences en entretien et ménage haut de gamme ✅ Maîtrise de la cuisine européenne et des techniques de dressage de table ✅ Bonne éloquence, capacité à bien s’exprimer et à interagir avec des clients exigeants ✅ Capacité à lire et comprendre des instructions avec rigueur et précision ✅ Personne sérieuse, discrète, organisée et autonomeDossiers de candidature📩 Comment postuler ?

Envoyez : ✔ Votre CV à jour ✔ Une note vocale (2 min minimum) expliquant :
* Votre parcours académique
* Votre expérience professionnelle ✔ Une présentation vidéo (2 min minimum) claire et cohérente, où vous vous exprimez correctement

📲 Candidature par WhatsApp : 👉 wa.me/2250585750181

Et/ou
 👉 +225 05 85 75 01 81


⚠ Seuls les profils retenus seront contactés.
 ⛔ Ne pas appeler directement – Toute candidature incomplète sera automatiquement rejetée."
Stage,STAGIAIRES MAINTENANCE INFORMATIQUE,https://emploi.educarriere.ci/offre-129952-stagiaires-maintenance-informatique.html,129952,125775,11/03/2025,24/03/2025,"Maintenance Informatique, Electronique, Electrotechnique/Electricité, Télécommunications","BAC+4, BAC+3, BAC+2",,Côte d'Ivoire,11/03/2025,"Assister aux tâches de:
-Support utilisateur et assistance technique
-Maintenance et réparation du matériel informatique
-Gestion des réseaux et infrastructures télécoms
-Sécurité informatique et cybersécurité
-Supervision des serveurs et systèmes informatiques
-Installation et configuration des équipements",,,,,"Description du posteAssister aux tâches de:
-Support utilisateur et assistance technique
-Maintenance et réparation du matériel informatique
-Gestion des réseaux et infrastructures télécoms
-Sécurité informatique et cybersécurité
-Supervision des serveurs et systèmes informatiques
-Installation et configuration des équipementsProfil du posteJeune fille ou garçon dynamique désireux d'acquérir de l'expérience à la maintenance informatique et résidence de préférence dans la commune de Yopougon.Dossiers de candidatureCV avec lieu de résidence à envoyer: hermann.sepi@gmail.com"
Consultance,ENCADREUR DE FRANCAIS,https://emploi.educarriere.ci/offre-129951-encadreur-de-francais.html,129951,125774,11/03/2025,24/03/2025,Education/Enseignement,BAC+3,1 ans,Côte d'Ivoire,11/03/2025,"MONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur de français pour leur apprenant en classe de Terminale inscrit au programme IB résidant à l'entrée de Bingerville à raison de 1 séance de 2h par semaine.",,,,,"Description du posteMONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur de français pour leur apprenant en classe de Terminale inscrit au programme IB résidant à l'entrée de Bingerville à raison de 1 séance de 2h par semaine.Profil du poste- Justifier 1 an d'expérience ou plus dans l'enseignement du français
- Justifier d'une formation de base en lettres modernes
- Résider/exercer à proximité de la zone serait un atoutDossiers de candidatureCV à envoyer à recrutement@monprofchezmoi-ci.com avec pour intitulé ""Encadreur de français"""
Consultance,ENCADREUR EN ALPHABETISATION,https://emploi.educarriere.ci/offre-129950-encadreur-en-alphabetisation.html,129950,125773,11/03/2025,24/03/2025,Education/Enseignement,BAC+3,1 ans,Côte d'Ivoire,11/03/2025,"MONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur en alphabétisation pour leur apprenante du niveau terminale résidant à la pharmacie Jules Verne à raison de 4 séances de 2h par semaine.",,,,,"Description du posteMONPROFCHEZMOI, entreprise spécialisée dans le soutien scolaire, la formation pour adultes et l'accompagnement des enfants dys, recherche urgemment un encadreur en alphabétisation pour leur apprenante du niveau terminale résidant à la pharmacie Jules Verne à raison de 4 séances de 2h par semaine.Profil du poste- Justifier 1 an d'expérience ou plus dans l'alphabétisation
- Résider/exercer à proximité de la zone serait un atoutDossiers de candidatureCV à envoyer à recrutement@monprofchezmoi-ci.com
Objet: ""Encadreur en alphabétisation """
Emploi,COURSIER,https://emploi.educarriere.ci/offre-129949-coursier.html,129949,125772,11/03/2025,31/03/2025,Communication,CAP,1 ans,Côte d'Ivoire,11/03/2025,"Une entreprise spécialisée dans le domaine de la quincaillerie, offrant une large gamme de produits allant des outils de bricolage aux équipements industriels et de construction, recherche pour son compte un coursier chargé d’assurer la livraison rapide et sécurisée de documents, colis ou marchandises d’un point A à un point B, en respectant les délais et les consignes de l’entreprise",,,,,"Description du posteUne entreprise spécialisée dans le domaine de la quincaillerie, offrant une large gamme de produits allant des outils de bricolage aux équipements industriels et de construction, recherche pour son compte un coursier chargé d’assurer la livraison rapide et sécurisée de documents, colis ou marchandises d’un point A à un point B, en respectant les délais et les consignes de l’entrepriseProfil du posteMissions principales :

-	Effectuer la livraison de documents, colis ou marchandises. 
-	Vérifier l’état et la conformité des colis avant la livraison. 
-	Planifier et optimiser les itinéraires de livraison. 
-	Respecter les délais de livraison fixés. 
-	Assurer un bon relationnel avec les clients et les destinataires. 
-	Gérer les documents de livraison (bons de livraison, signatures, etc.). 
-	 Respecter les règles de circulation et de sécurité. 
-	 Assurer l’entretien basique du véhicule utilisé (vélo, scooter, moto, voiture ou camionnette).

 	Compétences techniques
-	 Bonne connaissance de la ville et des itinéraires. 
-	 Maîtrise de la conduite du véhicule utilisé. 
-	Capacité à gérer plusieurs livraisons en même temps. 
-	Utilisation d’outils GPS et applications de suivi des livraisons. 

 	Qualités personnelles
-	Ponctualité et rigueur. 
-	 Bonne présentation et courtoisie. 
-	Sens du service et de la satisfaction client. 
-	Autonomie et sens de l’organisation. 
-	Résistance au stress et aux conditions climatiques.

 	Profil recherché
-	Formation : Pas de diplôme spécifique requis, mais un permis de conduire A et B obligatoire.
-	Expérience :  Avoir Une première expérience en livraison.
-	Avoir une moto serait un plus

 	Langues :

-	Français obligatoireDossiers de candidature•	Dossiers de candidature :
Merci d'envoyer votre CV et lettre de motivation, Une copie de la Cni et permis de conduire à l'adresse suivante :
Email : gertherh17@gmail.com
Objet : Candidature Coursier"
Emploi,SOUDEUR ALUMINOTHERMIQUE,https://emploi.educarriere.ci/offre-129948-soudeur-aluminothermique.html,129948,125771,11/03/2025,31/03/2025,"Chaudronnerie, Soudure","BAC+2, BAC+1, BAC, BT",3 ans,ABIDJAN,11/03/2025,"Nous recrutons pour une multinationale exerçant dans le BTP, des soudeurs aluminothermiques 

Ils/Elles auront pour mission de :

-Assurer l’exécution des travaux de soudage et/ou de remise en état des rails et appareils de voie en utilisant diverses techniques de soudage aluminothermique

-Coordonner avec le personnel chargé de prendre les mesures garantissant la sécurité du personnel et des circulations

-Respecte les consignes générales de sécurité sur les voies ferrées et porter obligatoirement les équipements de Protection Individuelle

-Informer son responsable des dysfonctionnements rencontrés

-Appliquer les consignes de tri sélectif sur chantier",,,,,"Description du posteNous recrutons pour une multinationale exerçant dans le BTP, des soudeurs aluminothermiques 

Ils/Elles auront pour mission de :

-Assurer l’exécution des travaux de soudage et/ou de remise en état des rails et appareils de voie en utilisant diverses techniques de soudage aluminothermique

-Coordonner avec le personnel chargé de prendre les mesures garantissant la sécurité du personnel et des circulations

-Respecte les consignes générales de sécurité sur les voies ferrées et porter obligatoirement les équipements de Protection Individuelle

-Informer son responsable des dysfonctionnements rencontrés

-Appliquer les consignes de tri sélectif sur chantierProfil du poste-Formation : Bac+2 en chaudronnerie ou équivalent

-Expérience : 3 ans d’expérience professionnelle dans le secteur du génie civil.

-Compétences et qualités liées au poste

•Avoir une bonne connaissance des systèmes mécaniques, génie civil, structures métalliques.

•Être capable de s’intégrer dans une équipe pluridisciplinaire et multiculturelle.

•Faire preuve de rigueur et d’organisation.

•Être capable de travailler sous pression.

•Être responsable de son travail.

-Lieu du poste : Abidjan

-Type de contrat : CDDDossiers de candidatureMerci de nous faire parvenir votre CV (avec trois références) + copie du diplôme à recrute@a2i-outsourcinghr.com ou postuler directement sur notre site web : www.a2i-outsourcinghr.com au plus tard le 31/03/2025"
Emploi,INGENIEUR D'ETUDE EN STRUCTURE,https://emploi.educarriere.ci/offre-129947-ingenieur-d-etude-en-structure.html,129947,125770,11/03/2025,24/03/2025,Génie Civil/Travaux publics,BAC+5,3 ans,Côte d'Ivoire,11/03/2025,"Nous recrutons en urgence pour l'un de nos partenaires, un ingénieur d'études en structure, professionnel, spécialisé dans la conception, l'analyse et la validation des structures porteuses d' ouvrages ayant pour rôle essentiel de garantir la sécurité, la stabilité et la durabilité des constructions.

Missions principales :

-Conception et calcul des structures : À partir des plans fournis par l'architecte, l'ingénieur détermine les dimensions et les matériaux appropriés pour les éléments structuraux (murs, poutres, dalles, etc.), en s'assurant de leur résistance et de leur stabilité. 


-Modélisation et simulation : Utilisation de logiciels de conception assistée par ordinateur (CAO) pour réaliser des modélisations 3D et des simulations, permettant de tester et d'optimiser les performances des structures avant leur réalisation. 


-Rédaction de documents techniques : Élaboration de notes de calcul, de plans d'exécution et de rapports détaillés justifiant les choix techniques et les solutions adoptées.

-Collaboration interdisciplinaire : Travail en étroite collaboration avec les architectes, les chefs de projet et d'autres ingénieurs (fluides, électricité, etc.) pour assurer la cohérence et l'intégration des différentes composantes du projet.

-Suivi de chantier : Participation occasionnelle aux réunions de chantier pour vérifier la conformité des travaux par rapport aux plans et aux spécifications, et adaptation des études en fonction des évolutions ou des imprévus rencontrés sur le terrain.",,,,,"Description du posteNous recrutons en urgence pour l'un de nos partenaires, un ingénieur d'études en structure, professionnel, spécialisé dans la conception, l'analyse et la validation des structures porteuses d' ouvrages ayant pour rôle essentiel de garantir la sécurité, la stabilité et la durabilité des constructions.

Missions principales :

-Conception et calcul des structures : À partir des plans fournis par l'architecte, l'ingénieur détermine les dimensions et les matériaux appropriés pour les éléments structuraux (murs, poutres, dalles, etc.), en s'assurant de leur résistance et de leur stabilité. 


-Modélisation et simulation : Utilisation de logiciels de conception assistée par ordinateur (CAO) pour réaliser des modélisations 3D et des simulations, permettant de tester et d'optimiser les performances des structures avant leur réalisation. 


-Rédaction de documents techniques : Élaboration de notes de calcul, de plans d'exécution et de rapports détaillés justifiant les choix techniques et les solutions adoptées.

-Collaboration interdisciplinaire : Travail en étroite collaboration avec les architectes, les chefs de projet et d'autres ingénieurs (fluides, électricité, etc.) pour assurer la cohérence et l'intégration des différentes composantes du projet.

-Suivi de chantier : Participation occasionnelle aux réunions de chantier pour vérifier la conformité des travaux par rapport aux plans et aux spécifications, et adaptation des études en fonction des évolutions ou des imprévus rencontrés sur le terrain.Profil du posteCompétences requises :

-Techniques : Solides connaissances en résistance des matériaux, en calcul de structures et en sciences des matériaux. Maîtrise des logiciels de CAO et de simulation (par exemple, Robot Structural Analysis, SAP2000...)

-Analytique : Capacité à effectuer des calculs complexes et à interpréter les résultats pour proposer des solutions optimales.

-Communication : Aptitude à rédiger des documents techniques clairs et à collaborer efficacement avec divers interlocuteurs.

-Adaptabilité : Capacité à s'ajuster aux évolutions du projet et à résoudre les problèmes techniques imprévus.

Formation et qualifications :

Diplôme requis : Bac+5 en génie civil, avec une spécialisation en structures, obtenu dans une école d'ingénieurs ou une université reconnue.

Expérience :3 ans d'expérience en bureau d'études ou en entreprise de construction est souvent appréciée.

Compétences supplémentaires : 

La maîtrise de l'anglais technique et des connaissances en réglementation locale de construction peuvent être des atouts.Dossiers de candidaturePrière faire parvenir votre CV à ""stephanie.goh@ksconsulting.ci"" en précisant en objet le poste."
